id;status;level;client_time;created_by;created_at;updated_by;updated_at
1;EMAIL_SEND;86701;Persistent South Director;explicit Tactics;2021-06-09;grey;2021-06-09
2;INIT;4286;Loan Parks Shoes;Metal;2021-06-09;redefine alarm Prairie;2021-06-10
3;REJECTED;21367;extranet Bedfordshire Minnesota;pixel;2021-06-09;Card USB Dynamic;2021-06-09
4;REJECTED;82210;Peso;bluetooth;2021-06-09;neural architecture transmitting;2021-06-09
5;EMAIL_SEND;71208;facilitate website;Intelligent;2021-06-09;Berkshire;2021-06-10
6;EMAIL_SEND;27753;Generic;Handmade;2021-06-10;Account;2021-06-09
7;APPROVED;27254;Implementation;Quality Functionality deposit;2021-06-09;transmitter Paradigm;2021-06-09
8;APPROVED;58956;Data Accounts Oregon;withdrawal;2021-06-09;bandwidth;2021-06-09
9;INIT;26854;Mouse alliance generating;generating;2021-06-09;calculate Granite;2021-06-10
10;APPROVED;83948;program primary Games;content-based Open-architected;2021-06-09;deposit Incredible;2021-06-09
