id;status;client_time;created_by;created_at;updated_by;updated_at
1;REJECTED;overriding;Jersey;2021-06-10;iterate cohesive Islands;2021-06-09
2;REJECTED;XML matrix Chair;Avon;2021-06-09;turquoise quantify;2021-06-10
3;EMAIL_SEND;Northern Dirham;Pine infomediaries;2021-06-09;Branding;2021-06-09
4;INIT;EXE;bypass;2021-06-09;RAM Hawaii;2021-06-09
5;EMAIL_SEND;middleware face enhance;input National JSON;2021-06-10;Multi-lateral Bike;2021-06-09
6;INIT;Metal;navigate Views Garden;2021-06-10;pixel Somali turquoise;2021-06-09
7;EMAIL_SEND;sensor reintermediate optical;generation Handmade Senior;2021-06-09;Bond Persevering Human;2021-06-09
8;INIT;panel;Books fault-tolerant Internal;2021-06-09;radical;2021-06-09
9;REJECTED;Alaska Health indexing;PCI indigo;2021-06-09;deposit deposit;2021-06-09
10;APPROVED;bus;XSS generating Steel;2021-06-09;Tasty Account productize;2021-06-10
